# Iteration,# New_ICP_C1,# New_ICP_C2,# New_Table_C1,# New_Table_C2,# MD_ICP_C1,# MD_ICP_C2,# MD_Table_C1,# MD_Table_C2,# Reflected_Percentage_ICP,# Reflected_Percentage_Table
0,0,50,0,0,0,0,0,0,0,0
0,0,50,0,0,0,0,0,0,0,0
1,50.882519,51.76296184,48.09269158,21.84158707,3.427216774,1.106351108,2.373221989,5.410419798,231.47,27.06
2,36.00808762,16.21094157,46.97437321,23.09923864,6.000121266,4.429644741,3.258189942,5.572809385,196.37,51.93
3,35.45961838,17.5142202,44.08993877,24.80097246,6.017551114,4.19390534,6.177371115,6.537014334,165.13,52.03
4,32.72303533,19.23363158,43.17191446,25.32604097,5.810751661,4.349474784,6.356676461,6.668593377,157.86,51.02
5,30.64503101,19.56039193,41.65196614,27.63540442,5.937832173,4.080428479,5.548074715,7.132854245,160.97,50.02
6,29.55381477,22.03025137,38.97717568,28.72685057,6.063251937,4.335795121,8.044260905,8.488200085,210.66,50.53
7,26.84547627,22.96519982,41.06086395,28.87281169,6.036524786,3.887401457,6.47265633,7.534308652,158.7,49.5
8,28.36792865,22.83191319,40.15880133,28.6795572,5.930363706,3.753621289,7.669825348,8.066138596,165.94,50.52
9,28.01505234,23.41562748,37.81074123,30.28200411,5.852815103,4.508501034,7.837576021,7.855058208,197.47,50.84
10,25.72122043,24.32232259,41.59508769,27.32911232,6.19038262,3.97523267,7.313724386,7.650401002,170.93,50.09
11,29.09501239,21.41654569,39.96862209,29.31756483,5.851456522,4.026620294,8.232233618,8.200498004,176.31,50.93
12,33.94550451,26.88540153,34.68116753,25.50285222,7.214167247,3.71779789,7.081786929,5.670178075,139.67,47.23
13,23.20383558,20.04367724,44.88674185,28.74397418,5.372155509,4.59621288,3.783646536,6.741848953,116.17,49.35
14,31.60483916,23.08407746,36.96403852,31.67439111,6.222248848,4.199665223,8.996307476,8.538664619,211.7,51.54
15,24.53287402,25.96731106,44.50344039,26.85322678,6.387105326,4.024534659,5.146364914,7.179610941,132,49.7
16,31.89562728,21.34028076,38.61088625,30.60103131,6.32181917,4.362910903,8.036871108,8.668801559,184.8,51.29
17,25.8002953,24.84930452,43.40634768,27.09980519,6.229537237,4.20532825,5.538707108,6.793505196,142.83,49.91
