# C1_AMU_ICP,# C2_AMU_ICP,# C1_AMU_Table,# C2_AMU_Table,# Average_Reflected_Power_ICP,# Maximum_Reflected_Power_ICP,# Average_Reflected_Power_Table,# Maximum_Reflected_Power_Table
0,0,50,0,231.47,150,27.06,60
79.65429869,18.34347899,79.65429869,18.34347899,395.8405243,17521.0528,178.6781161,362.3188358
10,10,10,10,433.0419203,17515.78981,45.58654546,96.10727719
20,20,20,20,201.386184,5442.623002,45.34449688,95.45176938
30,30,30,30,139.3301154,556.2393353,44.91633099,93.12004766
40,40,40,40,110.5307137,667.6706655,44.3246194,109.0766015
50,50,50,50,145.607382,3339.393931,28.3319092,103.3578688
60,60,60,60,215.1277257,8715.789346,36.22194847,91.85498167
70,70,70,70,3066.531863,18488.8884,43.44320022,97.13222689
80,80,80,80,412.8962053,17515.78981,44.77833464,92.65414591
90,90,90,90,547.0911557,17521.0528,44.85160093,91.46091733
100,100,100,100,807.9585173,18494.44378,44.78699164,90.13134113
68.32441856,55.36914042,50.43046902,100,238.4623059,15099.99976,45.11105127,103.3825185
56.35125723,24.91362659,36.65250102,0,113.3992843,1373.966971,30.96654739,71.01865319
87.51378703,44.88800587,0,100,286.4532669,17505.26381,44.29616422,100.1092597
100,35.36611179,20.65313481,21.18811629,722.5025212,17521.0528,45.3147787,94.19393265
47.90090601,4.448243728,72.53421566,100,185.4525771,14469.5656,44.644904,95.27824976
0,84.20385745,29.16749491,51.10835599,216.5252761,6654.000253,34.8629005,85.95520826
